label,en,zh-CN,zh-TW,fa,ru,es,uk,ar
200x-faster-speed,"Get up to 200x faster speed and more reliable connections.","获得高达 200 倍更快的速度 和更可靠的连接。","獲得高達 200 倍更快的速度 和更可靠的連接。","سرعتی تا 200 برابر سریع‌تر و اتصالات قابل اعتمادتر دریافت کنید","Получите до 200 раз быстрее скорость и более надежные соединения.","Obtén hasta 200 veces más velocidad y conexiones más confiables.","Отримайте до 200 разів швидшу швидкість і надійніші з'єднання.",احصل على سرعة أسرع حتى 200 مرة واتصالات أكثر موثوقية.
about,About,关于,關於,درباره ما,О программе,Sobre,Про програму,حول
access-global-servers,"Gain access to our entire network of global servers, including premium, low-latency locations.","使用所有迷雾通服务器，连接高速、低延迟的地理位置。","使用所有迷霧通服務器，连接高速、低延遲的地理位置。","به کل شبکه سرورهای جهانی ما، از جمله مکان‌های ممتاز با تأخیر کم، دسترسی پیدا کنید","Получите доступ ко всей нашей сети глобальных серверов, включая премиум-локации с низкой задержкой.","Obtén acceso a toda nuestra red de servidores globales, incluyendo ubicaciones premium de baja latencia.","Отримайте доступ до всієї нашої мережі глобальних серверів, включаючи преміум-локації з низькою затримкою.",احصل على وصول إلى كامل شبكتنا من الخوادم العالمية، بما في ذلك المواقع المميزة منخفضة التأخير.
account,Account,账户,賬戶,حساب کاربری,Аккаунт,Cuenta,Обліковий запис,الحساب
account-info,Account info,账户信息,帳戶資訊,اطلاعات حساب,Информация об аккаунте,Información de la cuenta,Інформація про обліковий запис,معلومات الحساب
account-level,Account level,账户级别,帳戶等級,سطح حساب,Уровень аккаунта,Nivel de cuenta,Рівень облікового запису,مستوى الحساب
account-secret,Account secret,账户密钥,帳戶密鑰,رمز حساب کاربری,Секретный ключ аккаунта,Secreto de cuenta,Секретний ключ облікового запису,سر الحساب
account-status,Account status,账户状态,帳戶狀態,وضعیت حساب,Состояние аккаунта,Estado de la cuenta,Стан облікового запису,حالة الحساب
add-plus-time,Add Plus time,购买 Plus 时长,購買 Plus 時長,افزودن زمان پلاس,Добавить время Plus,Agregar tiempo Plus,Додати час Plus,إضافة مدة Plus
ads-and-trackers,Ads and trackers,广告和跟踪器,廣告和追蹤器,تبلیغات و ردیاب‌ها,Реклама и трекеры,Anuncios y rastreadores,Реклама та трекери,الإعلانات والمتتبعات
adult-content,Adult content,成人内容,成人內容,محتوای بزرگسالان,Контент для взрослых,Contenido para adultos,Контент для дорослих,محتوى البالغين
advanced,Advanced,高级,高級,پیشرفته,Дополнительно,Avanzado,Розширені,متقدم
advanced-warning,"Advanced settings should only be adjusted by experienced users. Incorrect changes may lead to unexpected network behavior or disruptions.",高级设置应只由有经验的用户调整。不正确的更改可能导致意外的现象或连接中断。,高級設置應只由有經驗的用戶調整。不正確的更改可能導致意外的現象或連接中斷.,تنظیمات پیشرفته باید توسط کاربران باتجربه انجام شود. تنظیمات اشتباه ممکن است باعث بروز اختلال در شبکه شما شود.,"Расширенные настройки должны настраиваться только опытными пользователями. Неправильные изменения могут привести к неожиданному поведению сети или сбоям.","Las configuraciones avanzadas solo deben ser ajustadas por usuarios experimentados. Cambios incorrectos pueden llevar a comportamientos inesperados en la red o interrupciones.","Розширені налаштування повинні налаштовуватися лише досвідченими користувачами. Неправильні зміни можуть призвести до несподіваної поведінки мережі або збоїв.",ينبغي تعديل الإعدادات المتقدمة من قبل المستخدمين ذوي الخبرة فقط. قد تؤدي التغييرات غير الصحيحة إلى سلوك غير متوقع في الشبكة أو انقطاعات.
alipay,Alipay,支付宝,支付寶,علی‌پی,Alipay,Alipay,Alipay,Alipay
allowed,Allowed,允许,允許,مجاز,Разрешено,Permitido,Дозволено,مسموح
app-whitelist,App selection,应用选择,應用選擇,انتخاب برنامه,Выбор приложений,Selección de aplicaciones,Вибір додатків,اختيار التطبيقات
